,model,acc1,acc5
0,blip2-nolm~coco~zs,0.6500200033187866,0.8680599927902222
1,blip2-nolm~pt~zs,0.6911799907684326,0.8974400162696838
2,clip-openai~zs,0.7789999842643738,0.9542999863624573
3,openclip-eva01~zs,0.8162400126457214,0.9664400219917297
