,model,acc1,acc5
0,blip2-nolm~coco~zs,0.6297816634178162,0.8904053568840027
1,blip2-nolm~pt~zs,0.5716266632080078,0.8904325366020203
2,clip~openai~zs,0.5520241260528564,0.8535113334655762
3,openclip-eva01~zs,0.6280688643455505,0.8967401385307312
