,model,acc1,acc5
0,blip2-nolm~coco~zs,0.5958975553512573,0.8135615587234497
1,blip2-nolm~pt~zs,0.6102691292762756,0.8227070569992065
2,clip~openai~zs,0.6876143217086792,0.8927358388900757
3,openclip-eva01~zs,0.7113927602767944,0.8997909426689148
