,model,acc1,acc5
0,blip2-nolm~coco~zs,0.6226199865341187,0.8531200289726257
1,blip2-nolm~pt~zs,0.635919988155365,0.8772000074386597
2,clip-openai~zs,0.7552199959754944,0.9457200169563293
3,openclip-eva01~zs,0.7851799726486206,0.9550399780273438
